id_card_id,submission_date,id_type,issuing_country,image_sharpness,brightness_score,contrast_score,hologram_detected,hologram_confidence,microprint_quality,uv_features_detected,uv_confidence,ocr_confidence,font_consistency_score,text_alignment_score,face_detected,face_detection_confidence,face_quality_score,face_symmetry_score,edge_consistency,lighting_consistency,color_histogram_score,template_match_score,is_expired,document_age_years,is_fraudulent,fraud_type,predicted_fraudulent,fraud_probability,prediction_correct,risk_category
ID000000,2025-08-02,national_id,Germany,0.8897,0.8062,0.8983,False,1.0,0.7966,True,0.8289,1.0,0.9537,0.8424,True,0.9671,0.7837,0.8327,0.9069,0.6878,0.6675,0.8763,False,6.12,0,,0,0.0,True,low_risk
ID000001,2025-04-24,drivers_license,UK,0.8158,0.7458,0.7767,False,0.7088,0.7571,True,0.9038,1.0,0.9276,0.8898,False,0.0,0.0,0.5572,0.848,0.9453,0.8691,0.8719,False,4.4,0,,0,0.00730567925876864,True,low_risk
ID000002,2023-03-28,national_id,USA,0.8489,0.7142,0.914,True,0.7823,0.8409,False,0.6736,0.8403,0.9138,0.9391,True,0.9486,0.8184,0.8459,0.7865,0.7952,0.7939,0.9734,False,2.81,0,,0,0.0,True,low_risk
ID000003,2023-11-21,state_id,UK,0.7596,0.8334,0.8924,True,0.951,0.9094,True,0.9179,0.9076,0.8564,0.7593,True,0.995,0.8122,0.8372,0.9726,0.7792,0.9235,0.9278,False,4.72,0,,0,0.0,True,low_risk
ID000004,2025-01-03,state_id,UK,0.8789,0.7555,0.8725,True,1.0,0.8164,True,0.9908,0.7628,0.9575,0.887,True,0.925,0.8392,0.711,0.8746,0.8921,0.9878,0.8789,False,2.29,0,,0,0.013096395723825793,True,low_risk
ID000005,2022-05-23,passport,France,0.6182,0.5232,0.7002,True,0.6816,0.3963,True,0.3692,0.9269,0.6151,0.5674,True,0.9737,0.5235,0.5838,0.8047,0.4158,0.0155,0.6856,False,1.11,1,altered_text,1,0.9983339596090481,True,critical_risk
ID000006,2025-07-25,passport,Australia,0.8226,0.7398,0.8255,True,0.9123,1.0,True,0.8657,0.9355,0.8948,0.7265,True,0.9387,0.836,1.0,0.8765,0.8871,0.8365,0.8399,False,9.86,0,,0,0.004449872703502374,True,low_risk
ID000007,2025-06-01,passport,Canada,0.9114,0.705,0.7702,True,0.9419,0.7398,True,0.9746,1.0,0.9975,0.8095,True,0.9438,0.7807,0.9439,1.0,0.9386,0.8409,0.8881,False,2.26,0,,0,0.0,True,low_risk
ID000008,2025-11-03,drivers_license,Germany,0.765,0.8674,0.7573,True,1.0,0.7417,True,0.821,0.9688,0.8138,0.8982,True,1.0054,0.6693,0.8848,0.9082,0.9304,0.7163,0.8308,False,7.26,0,,0,0.0,True,low_risk
ID000009,2023-03-12,state_id,Italy,0.8994,0.9417,0.8604,False,0.9478,0.8375,False,0.7405,0.983,0.9928,0.9388,True,0.8923,0.7549,0.7796,0.9439,0.9742,0.8824,0.9664,False,5.68,0,,0,0.0,True,low_risk
ID000010,2025-04-10,passport,Canada,0.8304,0.7446,0.7599,True,0.8147,0.8123,False,0.8807,0.9366,0.9579,0.881,False,0.0,0.0,0.9116,0.8715,1.0,0.9026,0.8586,False,2.81,0,,0,0.0,True,low_risk
ID000011,2025-10-25,drivers_license,Spain,0.8534,0.8063,0.8288,True,0.9392,0.7748,True,0.9199,0.9827,0.8761,0.8059,True,0.9144,0.901,0.8774,0.9341,1.0,0.8631,0.8615,False,9.9,0,,0,0.0,True,low_risk
ID000012,2025-10-25,national_id,Australia,0.8547,0.7057,0.8722,False,0.9249,0.9283,True,0.9448,0.8373,0.8344,0.9212,True,0.9657,0.8815,1.0,0.93,0.9622,0.9354,0.9491,False,8.9,0,,0,0.0,True,low_risk
ID000013,2024-10-22,drivers_license,France,0.7578,0.6699,0.8549,True,0.8115,0.816,True,0.8019,0.8127,0.925,0.8468,True,0.944,0.7407,0.8432,0.9992,0.8716,0.895,0.8337,False,0.85,0,,0,0.0,True,low_risk
ID000014,2025-01-09,drivers_license,Australia,0.8536,0.7548,1.0,True,0.9307,0.6175,False,0.8668,0.8803,0.9597,0.8166,True,0.9343,0.8805,0.9393,0.806,0.8299,0.7925,0.8708,False,5.49,0,,0,0.0,True,low_risk
ID000015,2023-05-06,drivers_license,UK,0.7918,0.828,0.6804,True,0.7803,0.1112,True,0.7056,0.5485,0.324,0.5796,True,1.0336,0.5757,0.4821,0.291,0.4569,0.141,0.373,False,3.08,1,fake_hologram,1,0.9621409921797246,True,critical_risk
ID000016,2022-09-20,passport,France,0.8148,0.8331,0.9697,True,0.7651,0.9363,True,0.8509,0.8611,0.9323,0.8959,True,0.91,0.837,0.8392,0.8979,0.9196,0.9986,0.8357,False,4.58,0,,0,0.0,True,low_risk
ID000017,2023-10-01,national_id,Italy,0.9049,0.8271,0.8795,True,0.8713,0.7714,True,0.8687,0.9731,0.8675,0.8302,True,0.9222,0.9252,0.9862,0.9153,0.9123,0.777,0.9626,False,1.77,0,,0,0.0,True,low_risk
ID000018,2025-04-19,passport,USA,0.9098,0.881,0.8381,False,0.8894,0.9478,True,0.7968,0.9528,0.8858,0.8626,True,0.9949,0.9125,0.9351,0.9814,0.8619,0.9082,0.8914,False,3.89,0,,0,0.0,True,low_risk
ID000019,2022-05-26,national_id,Italy,0.8283,0.7587,1.0,False,0.9652,0.6408,False,0.8098,0.9923,0.8162,0.9417,True,0.9734,0.7601,0.8693,0.7437,1.0,0.8091,0.9582,False,1.17,0,,0,0.022236387022646822,True,low_risk
ID000020,2023-05-13,state_id,Germany,0.883,0.7636,0.766,False,0.8995,0.8445,True,0.8044,0.8917,0.9162,0.7642,True,0.8696,0.7582,0.8529,0.9118,0.9928,0.9258,0.9004,False,1.11,0,,0,0.0,True,low_risk
ID000021,2025-10-11,drivers_license,USA,0.8258,0.8195,0.7786,True,0.8761,0.9471,True,0.9194,0.9496,0.9062,0.7644,True,0.8978,0.7957,0.9066,0.8949,0.9485,0.8874,0.9133,False,5.23,0,,0,0.0,True,low_risk
